"APPLIC";"NM_PAGINA_WEB";"NM_AZIONE_PAGINA";"DS_AZIONE_PAGINA"
"SACER_DIPS";"/LUM/refertiCollegatiLUM";"detail/LUMForm#RefertiCollegatiList/loadRefertoDisponibile";"Dettaglio Referto Disponibile"
"SACER_DIPS";"/Pievesestina/refertiCollegati";"detail/PievesestinaForm#RefertiCollegatiList/loadRefertoDisponibile";"Dettaglio Referto Disponibile"
"SACER_DIPS";"/amministrazioneSistema/gestioneJob";"button/GestioneJobForm#AllineaMetadatiJob/startAllineaMetadati";"Start job allineamento metadati"
"SACER_DIPS";"/amministrazioneSistema/gestioneJob";"button/GestioneJobForm#AllineaMetadatiJob/startOnceAllineaMetadati";"Esecuzione singola job allineamento metadati"
"SACER_DIPS";"/amministrazioneSistema/gestioneJob";"button/GestioneJobForm#AllineaMetadatiJob/stopAllineaMetadati";"Stop job allineamento metadati"
"SACER_DIPS";"/amministrazioneSistema/gestioneJobRicerca";"button/GestioneJobForm#GestioneJobInfo/disabilitaAllJobs";"Disabilita tutti i job"
"SACER_DIPS";"/amministrazioneSistema/gestioneJobRicerca";"button/GestioneJobForm#GestioneJobInfo/ricaricaGestioneJob";"Ricarica gestione job"
"SACER_DIPS";"/amministrazioneSistema/gestioneJobRicerca";"button/GestioneJobForm#GestioneJobInfo/salvaFotoGestioneJob";"Salva foto gestione job"
"SACER_DIPS";"/amministrazioneSistema/gestioneJobRicerca";"button/GestioneJobForm#GestioneJobInfo2/ripristinaFotoGestioneJob";"Ripristina foto job"
"SACER_DIPS";"/amministrazioneSistema/gestioneJobRicerca";"button/GestioneJobForm#GestioneJobRicercaFiltri/esecuzioneSingolaMassivaGestioneJob";"Esecuzione singola massiva job"
"SACER_DIPS";"/amministrazioneSistema/gestioneJobRicerca";"button/GestioneJobForm#GestioneJobRicercaFiltri/ricercaGestioneJob";"Ricerca job"
"SACER_DIPS";"/amministrazioneSistema/gestioneJobRicerca";"button/GestioneJobForm#GestioneJobRicercaFiltri/startMassivoGestioneJob";"Start massivo job"
